Structure #,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,Length4,Length5,Length6,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc
b-0.0250-c-0.0050_new,1.738700,-15780.853757,-15780.853757,12.698589,7.645149,3.312604,3.225802,3.218846,3.312591,3.225800,3.218848,8.797600,13.017971,8.779887,1005.533269,2.541491,2.034071,1.197735,1.171182,1.169023,2.174479,2.566331,2.172464
b-0.0250-c0.0000,1.736200,-15780.862022,-15780.862022,12.655155,7.632204,3.311995,3.229512,3.214383,3.311982,3.229510,3.214385,8.841600,13.017971,8.736206,1005.534634,2.538065,2.032377,1.197551,1.172331,1.167635,2.179468,2.566331,2.167476
b-0.0250-c0.0050,1.736100,-15780.870009,-15780.870009,12.686631,7.568356,3.310576,3.228391,3.217512,3.310563,3.228389,3.217514,8.886000,13.017971,8.692525,1005.531222,2.540549,2.023976,1.197122,1.171984,1.168608,2.184477,2.566331,2.162463
b-0.0250-c0.0100,1.736200,-15780.875942,-15780.875942,12.732048,7.484014,3.308902,3.224695,3.223941,3.308889,3.224693,3.223943,8.930900,13.017971,8.648844,1005.533610,2.544122,2.012769,1.196616,1.170838,1.170604,2.189517,2.566331,2.157426
b-0.0250-c0.0150,1.736000,-15780.879591,-15780.879591,12.770729,7.402168,3.307351,3.223242,3.227762,3.307338,3.223240,3.227764,8.976200,13.017971,8.605163,1005.529743,2.547156,2.001773,1.196148,1.170388,1.171789,2.194577,2.566331,2.152362
b-0.0250-c0.0200,1.742200,-15780.882598,-15780.882598,12.945105,7.242886,3.304713,3.232565,3.225626,3.304701,3.232563,3.225628,9.022000,13.017971,8.561482,1005.530085,2.560718,1.980020,1.195350,1.173276,1.171127,2.199666,2.566331,2.147273
b-0.0250-c0.0250,1.744300,-15780.882889,-15780.882888,12.987382,7.162335,3.303343,3.235612,3.225900,3.303331,3.235610,3.225902,9.068300,13.017971,8.517801,1005.533781,2.563978,1.968836,1.194935,1.174218,1.171212,2.204785,2.566331,2.142158
b-0.0250-c0.0300_new,1.747800,-15780.880977,-15780.880977,13.047010,7.057099,3.301703,3.237901,3.228004,3.301690,3.237898,3.228006,9.115000,13.017971,8.474120,1005.528947,2.568559,1.954034,1.194438,1.174925,1.171864,2.209921,2.566331,2.137017
b-0.0200-c-0.0300,1.760100,-15780.819046,-15780.819046,12.422989,7.857966,3.302444,3.215724,3.234971,3.302432,3.215722,3.234973,8.626100,12.954469,8.998292,1005.528050,2.519549,2.061528,1.194663,1.168052,1.174020,2.154792,2.561441,2.197035
b-0.0200-c-0.0250,1.763100,-15780.833838,-15780.833838,12.470296,7.885987,3.302232,3.218642,3.233451,3.302220,3.218640,3.233453,8.668100,12.954469,8.954611,1005.518939,2.523350,2.065087,1.194599,1.168960,1.173550,2.159650,2.561441,2.192169
b-0.0200-c-0.0200,1.766300,-15780.847539,-15780.847539,12.517975,7.900335,3.301831,3.224561,3.229182,3.301818,3.224559,3.229184,8.710600,12.954469,8.910930,1005.520014,2.527166,2.066905,1.194477,1.170797,1.172229,2.164541,2.561441,2.187279
b-0.0200-c-0.0150,1.764200,-15780.860550,-15780.860550,12.538165,7.862083,3.300633,3.226510,3.227683,3.300620,3.226508,3.227684,8.753500,12.954469,8.867249,1005.518939,2.528777,2.062052,1.194114,1.171401,1.171764,2.169454,2.561441,2.182365
b-0.0200-c-0.0100,1.760800,-15780.870229,-15780.870229,12.487566,7.849997,3.300033,3.233544,3.218938,3.300021,3.233542,3.218940,8.796900,12.954469,8.823568,1005.526465,2.524733,2.060513,1.193933,1.173579,1.169051,2.174399,2.561441,2.177426
b-0.0200-c-0.0050,1.761100,-15780.880863,-15780.880863,12.550252,7.791993,3.298541,3.234383,3.220622,3.298529,3.234381,3.220623,8.840600,12.954469,8.779887,1005.518996,2.529741,2.053097,1.193480,1.173838,1.169574,2.179355,2.561441,2.172464
b-0.0200-c0.0000,1.758700,-15780.888791,-15780.888791,12.532413,7.758128,3.297616,3.234583,3.220435,3.297603,3.234581,3.220436,8.884900,12.954469,8.736206,1005.529974,2.528318,2.048741,1.193200,1.173900,1.169516,2.184353,2.561441,2.167476
b-0.0200-c0.0050,1.759400,-15780.895693,-15780.895693,12.590952,7.680285,3.295938,3.232370,3.225745,3.295925,3.232368,3.225747,8.929500,12.954469,8.692525,1005.524598,2.532978,2.038657,1.192691,1.173216,1.171164,2.189360,2.561441,2.162463
b-0.0200-c0.0100,1.758100,-15780.899661,-15780.899661,12.603068,7.615653,3.294592,3.227849,3.231837,3.294579,3.227847,3.231839,8.974600,12.954469,8.648844,1005.524768,2.533940,2.030206,1.192282,1.171816,1.173051,2.194398,2.561441,2.157426
b-0.0200-c0.0150,1.760400,-15780.902357,-15780.902357,12.695399,7.507187,3.292603,3.230367,3.233852,3.292590,3.230365,3.233854,9.020200,12.954469,8.605163,1005.529634,2.541240,2.015861,1.191678,1.172596,1.173674,2.199467,2.561441,2.152362
